36253VWC 投注内容：0123456789 玩法：253 元角分：0.02 倍数：1 注数：252 时间：12-07 17:56:40
537DY8IF 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:33:59

537YR8L9 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:34:50

53740Z9D 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:36:44

5379KF7S 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-08 23:36:57

537C3ZPH 投注内容：-,-,-,234567,- 玩法：37 元角分：0.2 倍数：6 注数：6 时间：12-08 23:37:55

4559YBJ4 投注内容：12345678 玩法：59 元角分：0.02 倍数：1 注数：56 时间：12-09 00:09:34

4559Z65D 投注内容：2345678 玩法：59 元角分：0.02 倍数：1 注数：42 时间：12-09 00:10:15

4559B67T 投注内容：2345678 玩法：59 元角分：0.02 倍数：1 注数：42 时间：12-09 00:10:40

3637RFA0 投注内容：234567,-,-,-,- 玩法：37 元角分：0.02 倍数：1 注数：6 时间：12-09 21:39:32

3637KKJ7 投注内容：234567,-,-,-,- 玩法：37 元角分：0.02 倍数：1 注数：6 时间：12-09 21:39:50

3637ZM8Y 投注内容：234567,-,-,-,- 玩法：37 元角分：0.02 倍数：3 注数：6 时间：12-09 21:40:26

3637GIAG 投注内容：234567,-,-,-,- 玩法：37 元角分：0.02 倍数：1 注数：6 时间：12-09 21:40:52

537OSKJ6 投注内容：-,-,-,-,234567 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-10 21:19:19

537C8R1L 投注内容：-,-,-,-,234567 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-10 21:19:36

5370MEV6 投注内容：-,-,-,-,234567 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-10 21:20:36

537KDAIG 投注内容：-,-,-,-,234567 玩法：37 元角分：2 倍数：1 注数：6 时间：12-10 21:21:38

537WM8XL 投注内容：-,-,-,-,234567 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-10 21:22:57

537Q3Q39 投注内容：-,-,-,-,234567 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-10 21:24:49

537RIDYL 投注内容：-,-,-,-,234567 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-10 21:24:56

45600J80 投注内容：234567 玩法：60 元角分：0.02 倍数：1 注数：20 时间：12-10 21:32:24

3637AGOT 投注内容：-,-,-,-,56789 玩法：37 元角分：0.2 倍数：1 注数：5 时间：12-10 21:45:18

3637S4EK 投注内容：-,-,-,-,56789 玩法：37 元角分：0.2 倍数：2 注数：5 时间：12-10 21:45:59

3637PJ8U 投注内容：-,-,-,-,56789 玩法：37 元角分：0.2 倍数：4 注数：5 时间：12-10 21:46:24

3637GPIW 投注内容：-,-,-,-,56789 玩法：37 元角分：0.2 倍数：1 注数：5 时间：12-10 21:46:51

36373F62 投注内容：-,-,-,-,56789 玩法：37 元角分：0.2 倍数：2 注数：5 时间：12-10 21:47:20

3637A2I1 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-11 12:27:24

537YWOK4 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-11 21:52:43

537RWLS5 投注内容：234567,-,-,-,- 玩法：37 元角分：2 倍数：1 注数：6 时间：12-11 21:53:40

537UU033 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-11 21:54:51

537718EZ 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：2 注数：6 时间：12-11 21:56:51

537NK3NG 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-11 22:36:46

5378K4KR 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-11 22:38:49

537A3K0A 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：5 注数：6 时间：12-11 22:40:12

5374M65H 投注内容：234567,-,-,-,- 玩法：37 元角分：0.2 倍数：1 注数：6 时间：12-11 22:40:43

